program,keyword,active
7 KAIH,7 KAIH,true
7 KAIH,7 Kebiasaan Anak Indonesia Hebat,true
7 KAIH,Bully,true
7 KAIH,Tujuh Kebiasaan Anak Indonesia Hebat,true
7 KAIH,bully,true
BSAN,BSAN sekolah,true
BSAN,Budaya Sekolah Aman dan Nyaman,true
BSAN,bullying sekolah,true
BSAN,perundungan sekolah,true
BSAN,sekolah aman dan nyaman,true
Gawai,pembatasan gawai di sekolah,true
Pembatasan Gawai,larangan HP di sekolah,true
Pembatasan Gawai,pembatasan HP di sekolah,true
Pembatasan Gawai,penggunaan gawai di sekolah,true
Rukun Sama Teman,Rukun Sama Teman,true
Rukun Sama Teman,lagu Rukun Sama Teman,true
SAIH,SAIH senam,true
SAIH,Senam Anak Indonesia Hebat,true
